bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
TAMIL NADU STATE APEX CO-OP BANK,2016-09-01,2016,9,September,31643,1360.258,26424,1271.216,58067,2631.474,0.04298764339664381,0.04810838631547078,-89.04200000000014
TAMILNADU MERCANTILE BANK,2016-09-01,2016,9,September,232319,20184.636,313136,19579.477,545455,39764.113,0.08688327687360912,0.06252707130448111,-605.1589999999997
THANE BHARAT SAHAKARI BANK,2016-09-01,2016,9,September,2892,703.966,9157,546.133,12049,1250.0990000000002,0.24341839557399725,0.05964103964180409,-157.83299999999997
THANE DIST CENTRAL CO-OP BANK,2016-09-01,2016,9,September,6252,1305.645,16229,417.081,22481,1722.726,0.2088363723608445,0.025699735042208394,-888.564
THANE JANATA SAHAKARI BANK,2016-09-01,2016,9,September,36377,2898.722,80376,5096.423,116753,7995.145,0.07968557055282184,0.06340727331541754,2197.7009999999996
A P MAHESH URBAN CO-OP BANK,2016-09-01,2016,9,September,6336,1783.192,10763,782.522,17099,2565.714,0.28143813131313133,0.07270482207562948,-1000.67
AP STATE CO-OP BANK,2016-09-01,2016,9,September,19880,2573.512,16595,2985.324,36475,5558.836,0.1294523138832998,0.17989297981319674,411.8119999999999
GUJARAT STATE CO-OP BANK,2016-09-01,2016,9,September,20444,1466.357,43098,4014.989,63542,5481.346,0.0717255429465858,0.09315952016334865,2548.632
HASTI CO-OP BANK,2016-09-01,2016,9,September,1686,100.423,545,42.562,2231,142.985,0.05956287069988138,0.07809541284403669,-57.861000000000004
KANGRA CENTRAL CO-OP BANK,2016-09-01,2016,9,September,16464,853.733,27023,1934.676,43487,2788.4089999999997,0.05185453109815354,0.07159367945823927,1080.943
KANGRA CO-OP BANK,2016-09-01,2016,9,September,1696,322.11,5916,161.694,7612,483.804,0.18992334905660377,0.027331643002028394,-160.41600000000003
NASIK MERCHANTS CO-OP BANK,2016-09-01,2016,9,September,8680,521.436,8974,516.901,17654,1038.337,0.060073271889400925,0.057599843993759746,-4.535000000000082
PANDHARPUR URBAN CO-OP BANK,2016-09-01,2016,9,September,889,52.96,290,112.673,1179,165.633,0.05957255343082115,0.38852758620689654,59.713
RAJASTHAN STATE CO-OP BANK,2016-09-01,2016,9,September,13460,1325.738,199696,750.755,213156,2076.493,0.09849465081723625,0.003759489423924365,-574.9830000000001
ROYAL BANK OF SCOTLAND N.V,2016-09-01,2016,9,September,10181,4554.217,7861,2186.383,18042,6740.599999999999,0.4473251154110598,0.27813039053555527,-2367.834
SAHEBRAO DESHMUKH CO-OP BANK,2016-09-01,2016,9,September,2071,175.035,4676,313.456,6747,488.491,0.08451714147754708,0.06703507271171942,138.42100000000002
VARACHHA CO-OP BANK,2016-09-01,2016,9,September,4230,904.049,24491,512.308,28721,1416.357,0.21372316784869977,0.020918214854436325,-391.741
VISHWESHWAR SAHAKARI BANK,2016-09-01,2016,9,September,5024,694.841,8641,637.096,13665,1331.937,0.13830433917197452,0.07372942946418239,-57.745000000000005
ZOROASTRIAN CO-OP BANK,2016-09-01,2016,9,September,1943,159.666,3082,319.926,5025,479.592,0.08217498713329902,0.10380467229072031,160.26
TUMKUR GRAIN MERCHANTS CO-OP BANK,2016-09-01,2016,9,September,2660,151.963,2066,213.422,4726,365.385,0.05712894736842105,0.10330203291384317,61.459
GADCHIROLI DIST CO-OP BANK,2016-09-01,2016,9,September,2405,59.568,5175,70.823,7580,130.391,0.024768399168399166,0.013685603864734297,11.254999999999995
UCO BANK,2016-09-01,2016,9,September,505630,47206.538,1784290,61124.711,2289920,108331.24900000001,0.0933618218855685,0.034257161672149705,13918.173000000003
UNION BANK OF INDIA,2016-09-01,2016,9,September,1539319,155774.069,3368699,212766.22,4908018,368540.289,0.10119674284537512,0.06315975989543737,56992.15100000001
UNITED BANK OF INDIA,2016-09-01,2016,9,September,807106,34936.515,1993859,55962.892,2800965,90899.407,0.04328615448280647,0.02806762765070148,21026.377
UNITED OVERSEAS BANK,2016-09-01,2016,9,September,141,1059.349,47,169.478,188,1228.827,7.513113475177304,3.6059148936170216,-889.8709999999999
VASAI VIKAS SAHAKARI BANK,2016-09-01,2016,9,September,2109,151.395,6033,412.226,8142,563.621,0.07178520625889047,0.06832852643792475,260.831
VIJAYA BANK,2016-09-01,2016,9,September,304007,40595.492,981347,53017.787,1285354,93613.279,0.13353472781876732,0.05402552512006456,12422.294999999998
WEST BENGAL STATE CO-OP BANK,2016-09-01,2016,9,September,14038,619.323,136416,3384.082,150454,4003.4049999999997,0.04411760934606069,0.024807075416373444,2764.759
WESTPAC BANKING CORP,2016-09-01,2016,9,September,250,25.299,16,3022.13,266,3047.429,0.101196,188.883125,2996.831
WOORI BANK,2016-09-01,2016,9,September,1076,721.911,231,703.74,1307,1425.6509999999998,0.6709210037174721,3.0464935064935066,-18.170999999999935
YES BANK,2016-09-01,2016,9,September,4448639,171863.186,924500,202049.335,5373139,373912.52099999995,0.038632756220498,0.21854984856679285,30186.149000000005
ZILA SAHKARI BANK GHAZIABAD,2016-09-01,2016,9,September,1295,128.327,6931,134.434,8226,262.76099999999997,0.0990942084942085,0.019396046746501226,6.106999999999999
ABHYUDAYA CO-OP BANK,2016-10-01,2016,10,October,43757,2505.315,134274,4859.044,178031,7364.359,0.057255182028018374,0.03618752699703591,2353.729
ABU DHABI COMMERCIAL BANK,2016-10-01,2016,10,October,2486,888.226,636,537.302,3122,1425.528,0.3572912308930008,0.8448144654088051,-350.924
AHMEDABAD MERCANTILE CO-OP BANK,2016-10-01,2016,10,October,7038,635.179,20172,1363.619,27210,1998.7979999999998,0.09024992895709008,0.06759959349593496,728.4399999999999
AKOLA DIST CENTRAL CO-OP BANK,2016-10-01,2016,10,October,3244,484.339,8084,270.283,11328,754.6220000000001,0.14930302096177558,0.0334343146956952,-214.05599999999998
ALLAHABAD BANK,2016-10-01,2016,10,October,1213994,72306.763,2574840,95053.249,3788834,167360.012,0.059561054667486006,0.036916176927498406,22746.48599999999
ALMORA URBAN CO-OP BANK,2016-10-01,2016,10,October,7323,422.285,17700,675.819,25023,1098.104,0.05766557421821658,0.03818186440677966,253.53399999999993
ANDHRA BANK,2016-10-01,2016,10,October,562636,74275.057,2199537,113148.207,2762173,187423.264,0.13201262805792732,0.0514418293486311,38873.149999999994
ANDHRA PRAGATHI GRAMEENA BANK,2016-10-01,2016,10,October,20741,1342.98,60859,1655.303,81600,2998.2830000000004,0.06475001205342076,0.027198984538030532,312.3230000000001
ANZ BANKING GROUP,2016-10-01,2016,10,October,26161,6847.345,2610,6116.362,28771,12963.707,0.2617386567791751,2.343433716475096,-730.9830000000002
APANA SAHAKARI BANK,2016-10-01,2016,10,October,6445,567.03,23283,1035.507,29728,1602.537,0.08797982932505818,0.04447480994717176,468.4770000000001
AXIS BANK,2016-10-01,2016,10,October,13789791,653635.858,5975538,571628.563,19765329,1225264.421,0.04739998292940045,0.09566143885286982,-82007.29500000004
AKOLA JANATA COMMERCIAL CO-OP BANK,2016-10-01,2016,10,October,4864,792.736,4433,441.878,9297,1234.614,0.16298026315789474,0.09967922400180465,-350.858
BANK N PARIBAS,2016-10-01,2016,10,October,387846,73024.652,107465,111928.494,495311,184953.146,0.18828259670075237,1.0415343972456148,38903.842000000004
BANDHAN BANK,2016-10-01,2016,10,October,84245,2963.587,53532,2822.294,137777,5785.880999999999,0.03517819455160544,0.052721624448927744,-141.29300000000012
BANK INTERNASIONAL INDONESIA,2016-10-01,2016,10,October,1477,222.846,36,39.784,1513,262.63,0.15087745429925525,1.1051111111111112,-183.062
BANK OF AMERICA,2016-10-01,2016,10,October,775128,78803.056,74674,49816.296,849802,128619.352,0.10166457152883136,0.6671170152931408,-28986.759999999995
BANK OF BAHARIEN AND KUWAIT,2016-10-01,2016,10,October,24598,1867.707,1459,852.302,26057,2720.009,0.07592922188795838,0.5841686086360521,-1015.4050000000001
BANK OF BARODA,2016-10-01,2016,10,October,2003742,162122.683,6867875,240982.006,8871617,403104.689,0.08090995896677317,0.03508829237573485,78859.323
BANK OF CEYLON,2016-10-01,2016,10,October,994,36.386,462,147.947,1456,184.333,0.0366056338028169,0.32023160173160176,111.561
BANK OF INDIA,2016-10-01,2016,10,October,1565190,98562.088,6282774,258666.891,7847964,357228.979,0.06297132488707441,0.04117080942271678,160104.803
BANK OF MAHARASHTRA,2016-10-01,2016,10,October,747864,52380.501,1857388,80170.832,2605252,132551.33299999998,0.07004014232534257,0.043163211994478264,27790.331
BANK OF NOVA SCOTIA,2016-10-01,2016,10,October,1602,1902.727,954,4053.19,2556,5955.917,1.187719725343321,4.248626834381551,2150.4629999999997
BANK OF TOKYO AND MITSUBISHI,2016-10-01,2016,10,October,47738,11088.751,5520,10570.23,53258,21658.981,0.23228352675017805,1.9148967391304348,-518.5210000000006
BARCLAYS BANK,2016-10-01,2016,10,October,32355,14826.136,2150,5092.343,34505,19918.479,0.45823322515839904,2.3685316279069766,-9733.793000000001
BASSEIN CATHOLIC CO-OP BANK,2016-10-01,2016,10,October,11706,1012.867,29475,1607.128,41181,2619.995,0.0865254570305826,0.054525122985581,594.261
BHARAT CO-OP BANK,2016-10-01,2016,10,October,42339,3817.383,78985,5133.236,121324,8950.618999999999,0.09016233260114788,0.064990010761537,1315.853
BHARATIYA MAHILA BANK,2016-10-01,2016,10,October,5502,181.905,18034,476.562,23536,658.467,0.033061613958560526,0.026425751358544972,294.65700000000004
CANARA BANK,2016-10-01,2016,10,October,1633937,156299.143,3825945,212665.042,5459882,368964.185,0.0956579984418004,0.05558497103330027,56365.898999999976
CAPITAL LOCAL AREA BANK,2016-10-01,2016,10,October,8254,639.337,11501,2139.463,19755,2778.8,0.0774578386236976,0.1860240848621859,1500.1260000000002
CATHOLIC SYRIAN BANK,2016-10-01,2016,10,October,69493,6236.264,86811,5645.794,156304,11882.058,0.08973945577252385,0.06503546785545611,-590.4700000000003
CENTRAL BANK OF INDIA,2016-10-01,2016,10,October,1414014,92736.714,4973961,141018.988,6387975,233755.70200000002,0.06558401401966317,0.028351446261842425,48282.274000000005
CITI BANK,2016-10-01,2016,10,October,4454889,687887.061,1834950,473014.06,6289839,1160901.121,0.15441171732898396,0.2577803536881114,-214873.001
CITIZEN CREDIT CO-OP BANK,2016-10-01,2016,10,October,6389,432.553,15913,789.198,22302,1221.751,0.06770277038660197,0.049594545340287816,356.645
CITY UNION BANK,2016-10-01,2016,10,October,568016,23190.834,390773,22795.118,958789,45985.952,0.040827783020196615,0.05833340072113477,-395.71600000000035
COMMONWEALTH BANK OF AUSTRALIA,2016-10-01,2016,10,October,416,50.961,79,106.514,495,157.475,0.12250240384615384,1.3482784810126582,55.553
CORP BANK,2016-10-01,2016,10,October,1367606,81451.094,2217886,130604.431,3585492,212055.525,0.0595574266272596,0.058886899957887824,49153.337
COSMOS CO-OP BANK,2016-10-01,2016,10,October,68378,7994.331,137072,9178.655,205450,17172.986,0.11691378806048729,0.06696228989144391,1184.3240000000005
CREDIT AGRICOLE CORP AND INVESTMENT BANK,2016-10-01,2016,10,October,1691,1684.487,238,953.519,1929,2638.0060000000003,0.9961484328799527,4.006382352941176,-730.9680000000001
CREDIT SUISSE AG,2016-10-01,2016,10,October,68,7.084,15,36.531,83,43.614999999999995,0.10417647058823529,2.4354,29.447
CTBC BANK CO-OP,2016-10-01,2016,10,October,584,620.12,214,1433.305,798,2053.425,1.0618493150684931,6.697686915887851,813.1850000000001
DCB BANK,2016-10-01,2016,10,October,156115,11170.315,108218,16441.198,264333,27611.513,0.07155183678698396,0.15192664806224473,5270.883
DELHI STATE CO-OP OP BANK,2016-10-01,2016,10,October,1472,164.731,4195,304.59,5667,469.32099999999997,0.11190964673913043,0.07260786650774731,139.85899999999998
DENA BANK,2016-10-01,2016,10,October,315795,33116.072,1016108,45416.717,1331903,78532.78899999999,0.10486572618312513,0.04469674188176847,12300.644999999997
DEOGIRI NAGARI SAHAKARI BANK,2016-10-01,2016,10,October,3,0.001,48,1.008,51,1.009,0.0003333333333333333,0.021,1.0070000000000001
DEUTSCHE BANK,2016-10-01,2016,10,October,2738636,272003.718,559350,187908.258,3297986,459911.976,0.09932087287248104,0.33594039152587823,-84095.45999999999
DEVELOPMENT BANK OF SINGAPORE,2016-10-01,2016,10,October,321824,53795.742,34013,20379.075,355837,74174.817,0.16715888808789897,0.5991554699673655,-33416.667
DHANLAXMI BANK,2016-10-01,2016,10,October,127511,5811.898,107541,6645.3,235052,12457.198,0.04557958136945048,0.06179317655591821,833.402
DICGC BANK,2016-10-01,2016,10,October,141,10.382,237,45.567,378,55.949,0.07363120567375886,0.19226582278481014,35.185
DOHA BANK QSC,2016-10-01,2016,10,October,19234,2350.778,531,381.318,19765,2732.0959999999995,0.1222199230529271,0.7181129943502824,-1969.4599999999998
DOMBIVLI NAGRIK SAHAKARI BANK,2016-10-01,2016,10,October,10204,2175.256,30071,1735.514,40275,3910.7699999999995,0.2131767934143473,0.057713877157394164,-439.74199999999996
EQUITAS SMALL FINANCE BANK,2016-10-01,2016,10,October,1,0.0,1,0.0,2,0.0,0.0,0.0,0.0
EXPORT IMPORT BANK OF INDIA,2016-10-01,2016,10,October,0,0.0,278,1240.697,278,1240.697,0.0,4.462938848920863,1240.697
FEDERAL BANK,2016-10-01,2016,10,October,1281694,76816.381,761606,55643.957,2043300,132460.338,0.05993347944205091,0.07306134274152253,-21172.42399999999
FIRSTRAND BANK,2016-10-01,2016,10,October,2984,609.249,1594,609.149,4578,1218.3980000000001,0.20417191689008043,0.38215119196988706,-0.10000000000002274
GOPINATH PATIL PARSIK JAN SAHA BANK,2016-10-01,2016,10,October,10279,1443.998,35413,1536.764,45692,2980.7619999999997,0.140480396925771,0.043395476237539886,92.76599999999985
GREATER BOMBAY CO-OP BANK,2016-10-01,2016,10,October,6860,399.948,22626,845.21,29486,1245.158,0.05830145772594752,0.037355696985768586,445.26200000000006
HDFC BANK,2016-10-01,2016,10,October,17221951,1308244.73,10393418,1251954.398,27615369,2560199.128,0.07596379353303234,0.12045646562083812,-56290.33199999994
HIMACHAL PRADESH STATE CO-OP,2016-10-01,2016,10,October,27760,959.446,14792,761.197,42552,1720.643,0.034562175792507206,0.051460045970795024,-198.24900000000002
HSBC BANK,2016-10-01,2016,10,October,1728591,249465.592,418467,169299.525,2147058,418765.11699999997,0.14431730351482797,0.4045707905282854,-80166.06700000001
ICICI BANK,2016-10-01,2016,10,October,10574897,633485.455,8540740,686018.526,19115637,1319503.981,0.05990464540694817,0.08032307809393564,52533.070999999996
IDBI BANK,2016-10-01,2016,10,October,4033552,205926.763,2693912,290414.369,6727464,496341.132,0.051053454374704973,0.10780395536305566,84487.606
IDFC BANK,2016-10-01,2016,10,October,25621,26722.321,14762,16168.366,40383,42890.687,1.0429850903555677,1.095269340197805,-10553.955
INDIAN BANK,2016-10-01,2016,10,October,804784,71093.903,2617274,93766.495,3422058,164860.398,0.08833911086701525,0.03582601401305328,22672.59199999999
INDIAN OVERSEAS BANK,2016-10-01,2016,10,October,1044846,79174.873,2362732,103262.171,3407578,182437.044,0.07577659578540762,0.04370456361534021,24087.297999999995
INDUSIND BANK,2016-10-01,2016,10,October,1613905,142668.816,716587,122979.479,2330492,265648.295,0.08839976082854939,0.17161835059804323,-19689.336999999985
INDUSTRIAL AND CO-OP BANK OF CHINA,2016-10-01,2016,10,October,239,196.03,74,253.506,313,449.536,0.8202092050209205,3.4257567567567566,57.476
INDUSTRIAL BANK OF KOREA,2016-10-01,2016,10,October,659,391.897,39,173.006,698,564.903,0.5946843702579666,4.436051282051282,-218.891
ING VYSYA BANK,2016-10-01,2016,10,October,1242,134.97,107404,8258.111,108646,8393.081,0.10867149758454106,0.07688830024952517,8123.1410000000005
JALGAON JANATA SAHKARI BANK,2016-10-01,2016,10,October,5477,298.903,7604,525.499,13081,824.402,0.05457421946320979,0.06910823250920568,226.596
JALGAON PEOPLES CO-OP BANK,2016-10-01,2016,10,October,4381,374.802,6610,394.948,10991,769.75,0.08555170052499429,0.0597500756429652,20.145999999999958
JAMMU AND KASHMIR BANK,2016-10-01,2016,10,October,145962,16451.149,215034,23733.027,360996,40184.176,0.11270843781258137,0.1103687184352242,7281.877999999997
JANAKALYAN SAHAKARI BANK,2016-10-01,2016,10,October,6880,779.27,23407,1240.937,30287,2020.2069999999999,0.11326598837209302,0.05301563634810099,461.6669999999999
JANATA SAHAKARI BANK,2016-10-01,2016,10,October,23842,2370.191,49874,3661.274,73716,6031.465,0.09941242345440818,0.0734104743954766,1291.083
JANSEVA SAHAKARI BANK BORIVILI,2016-10-01,2016,10,October,1748,395.345,4582,274.13,6330,669.475,0.22616990846681923,0.05982758620689655,-121.21500000000003
JANSEVA SAHAKARI BANK PUNE,2016-10-01,2016,10,October,5723,320.028,14921,676.338,20644,996.366,0.05591962257557226,0.04532792708263521,356.30999999999995
JP MORGAN BANK,2016-10-01,2016,10,October,332122,41212.64,7499,27106.621,339621,68319.261,0.1240888589132909,3.614698093079077,-14106.019
KALLAPPANNA AWADE IJSB,2016-10-01,2016,10,October,6261,394.461,8049,579.425,14310,973.886,0.06300287494010541,0.07198720337930177,184.96399999999994
KALUPUR COMM CO-OP BANK,2016-10-01,2016,10,October,12739,1329.393,43468,3026.222,56207,4355.615,0.10435615040427035,0.06961953621054569,1696.8290000000002
KALYAN JANATA SAHAKARI BANK,2016-10-01,2016,10,October,6519,853.471,25710,1144.902,32229,1998.373,0.13092053996011657,0.04453138856476079,291.43100000000004
KAPOLE BANK,2016-10-01,2016,10,October,1333,83.407,5763,266.31,7096,349.717,0.0625708927231808,0.04621030713170224,182.90300000000002
KARAD URBAN CO-OP BANK,2016-10-01,2016,10,October,8323,723.628,15069,951.218,23392,1674.846,0.08694316953021748,0.06312416218727188,227.58999999999992
KARNATAKA BANK,2016-10-01,2016,10,October,295592,17336.157,648188,28267.979,943780,45604.136,0.05864893840158055,0.04361077187482644,10931.822
KARNATAKA STATE CO-OP APEX BANK,2016-10-01,2016,10,October,11799,706.459,145190,2443.25,156989,3149.709,0.05987448088821086,0.016827949583304636,1736.7910000000002
KARNATAKA VIKAS GRAMEEN BANK,2016-10-01,2016,10,October,39053,1940.414,222679,2201.952,261732,4142.366,0.04968668220111131,0.009888458274017757,261.53800000000024
KARUR VYSYA BANK,2016-10-01,2016,10,October,593212,38833.779,760098,48114.002,1353310,86947.781,0.06546357625941485,0.06329973503416665,9280.222999999998
KOREA EXCHANGE BANK,2016-10-01,2016,10,October,145,70.543,310,81.363,455,151.906,0.4865034482758621,0.26246129032258064,10.819999999999993
KOTAK MAHINDRA BANK,2016-10-01,2016,10,October,3601508,293088.76,1875331,258049.597,5476839,551138.3570000001,0.08137945549475387,0.1376021603652902,-35039.163
KURMANCHAL NAGAR SAHAKARI BANK,2016-10-01,2016,10,October,6386,553.811,6178,498.845,12564,1052.656,0.08672267460068901,0.0807453868565879,-54.96600000000001
KERALA GRAMIN BANK,2016-10-01,2016,10,October,41231,1709.891,80718,2206.666,121949,3916.5570000000002,0.04147100482646553,0.027337966748432817,496.7750000000001
LAKSHMI VILAS BANK,2016-10-01,2016,10,October,159334,11807.965,197355,14655.195,356689,26463.16,0.07410825686921813,0.07425803754655316,2847.2299999999996
MAHANAGAR CO-OP BANK,2016-10-01,2016,10,October,6864,659.419,27129,1313.298,33993,1972.717,0.09606920163170163,0.04840937741899812,653.879
MAHARASHTRA GRAMIN BANK,2016-10-01,2016,10,October,32002,1988.762,2198,200.083,34200,2188.845,0.06214492844197238,0.09102957233848953,-1788.6789999999999
MAHARASHTRA STATE CO-OP BANK,2016-10-01,2016,10,October,3020,456.635,7037,2418.88,10057,2875.5150000000003,0.15120364238410597,0.34373738809151627,1962.2450000000001
MASHREQ BANK,2016-10-01,2016,10,October,304,184.291,34,4.406,338,188.697,0.6062203947368421,0.12958823529411764,-179.885
MEHSANA URBAN CO-OP BANK,2016-10-01,2016,10,October,19644,1222.144,21284,1874.893,40928,3097.0370000000003,0.06221462024027693,0.08808931591806052,652.749
MIZUHO CORP BANK,2016-10-01,2016,10,October,13732,4105.798,3067,9520.159,16799,13625.956999999999,0.29899490241771043,3.1040622758395826,5414.361
MUMBAI DIST CENTRAL CO-OP BANK,2016-10-01,2016,10,October,13437,584.458,13922,1416.095,27359,2000.5529999999999,0.043496167299248344,0.10171634822582963,831.6370000000001
MUNICIPAL CO-OP BANK,2016-10-01,2016,10,October,985,35.467,3255,675.059,4240,710.526,0.03600710659898477,0.20739139784946237,639.592
NAGAR URBAN CO-OP BANK,2016-10-01,2016,10,October,5827,590.5,5995,346.137,11822,936.637,0.1013385961901493,0.05773761467889908,-244.363
NAGPUR NAGRIK SAHAKARI BANK,2016-10-01,2016,10,October,5392,411.643,7598,1776.619,12990,2188.2619999999997,0.07634328635014836,0.23382719136614896,1364.9759999999999
NAINITAL BANK,2016-10-01,2016,10,October,19180,1506.54,40648,2295.773,59828,3802.313,0.07854744525547445,0.05647935937807518,789.2330000000002
NATIONAL AUSTRALIA BANK,2016-10-01,2016,10,October,3,0.033,15,0.384,18,0.41700000000000004,0.011000000000000001,0.0256,0.351
NATIONAL BANK OF ABU DHABI PJSC,2016-10-01,2016,10,October,56,32.549,4,4.0,60,36.549,0.5812321428571429,1.0,-28.549
NEW INDIA CO-OP BANK,2016-10-01,2016,10,October,7864,888.232,21522,968.992,29386,1857.224,0.11294913530010173,0.04502332496979834,80.75999999999999
NKGSB BANK,2016-10-01,2016,10,October,24518,1865.857,49697,2591.519,74215,4457.376,0.07610151725263072,0.052146387105861516,725.6619999999998
NUTAN NAGARIK SAHAKARI BANK,2016-10-01,2016,10,October,7283,534.55,22005,1122.784,29288,1657.334,0.07339695180557462,0.05102403999091116,588.2340000000002
ORIENTAL BANK OF COMMERCE,2016-10-01,2016,10,October,725713,75689.426,1724854,125612.465,2450567,201301.891,0.10429663792711445,0.07282498402763364,49923.03899999999
PRATHAMA BANK,2016-10-01,2016,10,October,14601,5188.63,94864,4178.163,109465,9366.793,0.3553612766248887,0.044043715213358064,-1010.4670000000006
PRIME CO-OP BANK SURAT,2016-10-01,2016,10,October,6859,597.057,7255,389.755,14114,986.812,0.08704723720658988,0.053722260509993104,-207.30200000000002
PUNJAB AND MAHARASHTRA CO-OP BANK,2016-10-01,2016,10,October,31158,3694.394,107340,4674.524,138498,8368.918,0.11856967712946916,0.043548760946525066,980.1300000000006
PUNJAB AND SIND BANK,2016-10-01,2016,10,October,124864,10633.101,380867,21706.356,505731,32339.457000000002,0.08515745931573553,0.05699195782254698,11073.255
PUNJAB NATIONAL BANK,2016-10-01,2016,10,October,2834692,203628.75,8008132,330659.123,10842824,534287.873,0.07183452382128287,0.04129041866442761,127030.37300000002
PRAGATHI KRISHNA GRAMIN BANK,2016-10-01,2016,10,October,50777,4111.385,208389,2412.573,259166,6523.9580000000005,0.08096943498040451,0.011577256956941106,-1698.8120000000004
RABOBANK INTERNATIONAL,2016-10-01,2016,10,October,2070,1570.218,336,2730.62,2406,4300.838,0.7585594202898551,8.126845238095237,1160.4019999999998
RAJGURUNAGAR SAHAKARI BANK,2016-10-01,2016,10,October,3780,268.285,5214,272.808,8994,541.0930000000001,0.07097486772486773,0.052322209436133485,4.522999999999968
RAJKOT NAGARIK SAHAKARI BANK,2016-10-01,2016,10,October,5555,397.649,13944,572.384,19499,970.033,0.07158397839783978,0.04104876649454963,174.735
RBI PAD,2016-10-01,2016,10,October,6732923,575360.437,28502,89454.884,6761425,664815.321,0.08545477751639222,3.1385476106939865,-485905.553
RBL BANK,2016-10-01,2016,10,October,440377,33497.412,159744,41104.124,600121,74601.536,0.07606530767955637,0.2573124749599359,7606.712000000007
SAMARTH SAHAKARI BANK SOLAPUR,2016-10-01,2016,10,October,1122,73.999,253,20.223,1375,94.222,0.06595276292335116,0.07993280632411066,-53.775999999999996
SARASWAT CO-OP BANK,2016-10-01,2016,10,October,157149,12589.009,327680,21680.698,484829,34269.707,0.08010874393091906,0.06616423950195313,9091.689
SBER BANK,2016-10-01,2016,10,October,95,85.728,24,141.433,119,227.161,0.9024,5.893041666666666,55.705
SEVA VIKAS CO-OP BANK,2016-10-01,2016,10,October,4140,236.827,8659,769.359,12799,1006.186,0.057204589371980676,0.08885079108442084,532.532
SHAMRAO VITHAL CO-OP BANK,2016-10-01,2016,10,October,92388,7432.484,164675,10571.845,257063,18004.328999999998,0.08044858639650171,0.06419823895551845,3139.360999999999
SHIKSHAK SAHAKARI BANK,2016-10-01,2016,10,October,2266,1091.965,3296,238.707,5562,1330.672,0.48189099735216234,0.07242324029126214,-853.2579999999999
SHINHAN BANK,2016-10-01,2016,10,October,15284,3305.466,5724,4098.423,21008,7403.888999999999,0.21626969379743521,0.7160068134171907,792.9569999999999
SHIVALIK MERCANTILE CO-OP BANK,2016-10-01,2016,10,October,2985,245.081,1535,142.889,4520,387.97,0.08210418760469011,0.09308729641693812,-102.19199999999998
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,2016-10-01,2016,10,October,3847,208.602,1755,227.379,5602,435.981,0.05422459059007018,0.12956068376068375,18.776999999999987
SOCIETE GENERALE,2016-10-01,2016,10,October,5434,4583.746,450,1540.094,5884,6123.84,0.8435307324254693,3.4224311111111114,-3043.652
SOLAPUR JANATA SAHAKARI BANK,2016-10-01,2016,10,October,4602,581.569,15672,372.678,20274,954.247,0.12637309865275967,0.023779862174578868,-208.89099999999996
SOUTH INDIAN BANK,2016-10-01,2016,10,October,329446,26606.581,482471,28419.941,811917,55026.522,0.08076158459960053,0.05890497252684617,1813.3600000000006
STANDARD CHARTERED BANK,2016-10-01,2016,10,October,2868048,337560.46,950472,227333.147,3818520,564893.6070000001,0.11769693533720496,0.23917921516888452,-110227.31300000002
STATE BANK OF BIKANER AND JAIPUR,2016-10-01,2016,10,October,4919239,54647.409,1683036,48394.026,6602275,103041.435,0.01110891522042332,0.02875400526191953,-6253.383000000002
STATE BANK OF HYDERABAD,2016-10-01,2016,10,October,2421391,86403.017,1551230,77890.223,3972621,164293.24,0.035683215556677965,0.05021191119305325,-8512.794000000009
STATE BANK OF INDIA,2016-10-01,2016,10,October,21491713,1336845.089,25573717,1464757.944,47065430,2801603.033,0.062202816918316375,0.05727591120211426,127912.85499999998
STATE BANK OF MAURITIUS,2016-10-01,2016,10,October,699,737.668,410,135.718,1109,873.386,1.0553190271816881,0.33101951219512193,-601.95
STATE BANK OF MYSORE,2016-10-01,2016,10,October,408004,29953.854,960820,44605.585,1368824,74559.439,0.07341558906285232,0.046424496783997,14651.731
STATE BANK OF PATIALA,2016-10-01,2016,10,October,708465,40755.587,704288,40681.412,1412753,81436.999,0.057526606113216604,0.057762466490980956,-74.17500000000291
STATE BANK OF TRAVANCORE,2016-10-01,2016,10,October,659189,42472.747,1523949,54877.021,2183138,97349.76800000001,0.06443182000913243,0.03600974901391057,12404.273999999998
SUMITOMO MITSUI BANKING CORP,2016-10-01,2016,10,October,4574,4754.645,484,3869.988,5058,8624.633,1.0394938784433756,7.995842975206611,-884.6570000000006
SURAT DIST CO-OP BANK,2016-10-01,2016,10,October,3686,416.506,9153,609.098,12839,1025.6039999999998,0.11299674443841562,0.06654626898284714,192.59199999999998
SURAT NATIONAL CO-OP BANK,2016-10-01,2016,10,October,2100,321.377,2351,182.257,4451,503.634,0.15303666666666668,0.0775231816248405,-139.12
SURAT PEOPLES CO-OP BANK,2016-10-01,2016,10,October,7399,727.404,25350,1211.149,32749,1938.5529999999999,0.09831112312474659,0.0477770808678501,483.7449999999999
SUTEX CO-OP BANK,2016-10-01,2016,10,October,3427,231.692,8598,509.009,12025,740.701,0.06760782025094836,0.05920086066527099,277.317
